animal_type,complaint_type,date_received,suburb
dog,Aggressive Animal,June 2020,Alice River
dog,Noise,June 2020,Alice River
dog,Noise,June 2020,Alice River
dog,Private Impound,June 2020,Alice River
dog,Wandering,June 2020,Alice River
dog,Attack,June 2020,Black River
dog,Enclosure,June 2020,Black River
dog,Wandering,June 2020,Black River
dog,Enclosure,June 2020,Bluewater
dog,Enclosure,June 2020,Bluewater
dog,Noise,June 2020,Bluewater Park
dog,Noise,June 2020,Bohle Plains
dog,Noise,June 2020,Bohle Plains
dog,Noise,June 2020,Bohle Plains
dog,Noise,June 2020,Bohle Plains
cat,Private Impound,June 2020,Bohle Plains
dog,Private Impound,June 2020,Bohle Plains
dog,Aggressive Animal,June 2020,Deeragun
dog,Aggressive Animal,June 2020,Deeragun
dog,Aggressive Animal,June 2020,Deeragun
dog,Attack,June 2020,Deeragun
dog,Attack,June 2020,Deeragun
dog,Enclosure,June 2020,Deeragun
dog,Enclosure,June 2020,Deeragun
dog,Noise,June 2020,Deeragun
dog,Noise,June 2020,Deeragun
dog,Noise,June 2020,Deeragun
dog,Noise,June 2020,Deeragun
dog,Noise,June 2020,Deeragun
dog,Noise,June 2020,Deeragun
cat,Private Impound,June 2020,Deeragun
cat,Private Impound,June 2020,Deeragun
cat,Private Impound,June 2020,Deeragun
dog,Private Impound,June 2020,Deeragun
dog,Private Impound,June 2020,Deeragun
dog,Private Impound,June 2020,Deeragun
dog,Private Impound,June 2020,Deeragun
dog,Private Impound,June 2020,Deeragun
dog,Private Impound,June 2020,Deeragun
dog,Private Impound,June 2020,Deeragun
dog,Wandering,June 2020,Deeragun
dog,Wandering,June 2020,Rollingstone
dog,Wandering,June 2020,Rollingstone
dog,Noise,June 2020,Shaw
dog,Wandering,June 2020,Shaw
dog,Wandering,June 2020,Shaw
dog,Noise,June 2020,Toolakea
dog,Noise,June 2020,Toolakea
dog,Enclosure,June 2020,Yabulu
dog,Private Impound,June 2020,Yabulu
dog,Private Impound,June 2020,Yabulu
dog,Wandering,June 2020,Alligator Creek
dog,Attack,June 2020,Cluden
dog,Wandering,June 2020,Cluden
dog,Wandering,June 2020,Cluden
dog,Noise,June 2020,Idalia
dog,Wandering,June 2020,Idalia
dog,Wandering,June 2020,Idalia
dog,Private Impound,June 2020,Murray
dog,Enclosure,June 2020,Oonoonba
dog,Enclosure,June 2020,Oonoonba
dog,Noise,June 2020,Oonoonba
dog,Noise,June 2020,Oonoonba
dog,Noise,June 2020,Oonoonba
dog,Noise,June 2020,Oonoonba
dog,Noise,June 2020,Oonoonba
dog,Aggressive Animal,June 2020,Railway Estate
dog,Attack,June 2020,Railway Estate
dog,Attack,June 2020,Railway Estate
dog,Attack,June 2020,Railway Estate
dog,Enclosure,June 2020,Railway Estate
dog,Enclosure,June 2020,Railway Estate
dog,Enclosure,June 2020,Railway Estate
dog,Noise,June 2020,Railway Estate
dog,Attack,June 2020,Reid River
dog,Attack,June 2020,Stuart
dog,Wandering,June 2020,Stuart
dog,Wandering,June 2020,Stuart
dog,Aggressive Animal,June 2020,Wulguru
dog,Aggressive Animal,June 2020,Wulguru
dog,Attack,June 2020,Wulguru
dog,Attack,June 2020,Wulguru
dog,Attack,June 2020,Wulguru
dog,Enclosure,June 2020,Wulguru
dog,Enclosure,June 2020,Wulguru
dog,Enclosure,June 2020,Wulguru
dog,Noise,June 2020,Wulguru
dog,Noise,June 2020,Wulguru
dog,Noise,June 2020,Wulguru
cat,Private Impound,June 2020,Wulguru
dog,Private Impound,June 2020,Wulguru
dog,Private Impound,June 2020,Wulguru
dog,Private Impound,June 2020,Wulguru
dog,Private Impound,June 2020,Wulguru
dog,Private Impound,June 2020,Wulguru
dog,Private Impound,June 2020,Wulguru
dog,Wandering,June 2020,Wulguru
dog,Wandering,June 2020,Wulguru
dog,Attack,June 2020,Black River
dog,Enclosure,June 2020,Black River
dog,Noise,June 2020,Black River
dog,Wandering,June 2020,Black River
dog,Wandering,June 2020,Black River
dog,Aggressive Animal,June 2020,Burdell
dog,Aggressive Animal,June 2020,Burdell
dog,Enclosure,June 2020,Burdell
dog,Enclosure,June 2020,Burdell
dog,Noise,June 2020,Burdell
dog,Noise,June 2020,Burdell
dog,Noise,June 2020,Burdell
dog,Noise,June 2020,Burdell
dog,Noise,June 2020,Burdell
dog,Noise,June 2020,Burdell
dog,Noise,June 2020,Burdell
dog,Noise,June 2020,Burdell
dog,Noise,June 2020,Burdell
dog,Noise,June 2020,Burdell
dog,Noise,June 2020,Burdell
cat,Private Impound,June 2020,Burdell
cat,Private Impound,June 2020,Burdell
dog,Private Impound,June 2020,Burdell
dog,Wandering,June 2020,Burdell
dog,Wandering,June 2020,Burdell
dog,Attack,June 2020,Bushland Beach
dog,Attack,June 2020,Bushland Beach
cat,Enclosure,June 2020,Bushland Beach
