animal_type,complaint_type,suburb,total
cat,Enclosure,Aitkenvale,16
cat,Enclosure,Alice River,4
cat,Enclosure,Annandale,20
cat,Enclosure,Arcadia,1
cat,Enclosure,Black River,3
cat,Enclosure,Bohle Plains,12
cat,Enclosure,Burdell,22
cat,Enclosure,Bushland Beach,25
cat,Enclosure,Castle Hill,1
cat,Enclosure,Cluden,1
cat,Enclosure,Condon,25
cat,Enclosure,Cosgrove,1
cat,Enclosure,Cranbrook,20
cat,Enclosure,Cungulla,1
cat,Enclosure,Currajong,2
cat,Enclosure,Deeragun,16
cat,Enclosure,Douglas,14
cat,Enclosure,Garbutt,16
cat,Enclosure,Gulliver,17
cat,Enclosure,Heatley,14
cat,Enclosure,Hermit Park,16
cat,Enclosure,Hyde Park,1
cat,Enclosure,Idalia,2
cat,Enclosure,Jensen,2
cat,Enclosure,Kelso,46
cat,Enclosure,Kirwan,117
cat,Enclosure,Mount Louisa,26
cat,Enclosure,Mount Low,15
cat,Enclosure,Mundingburra,2
cat,Enclosure,Mysterton,2
cat,Enclosure,Nelly Bay,3
cat,Enclosure,North Ward,7
cat,Enclosure,Oonoonba,4
cat,Enclosure,Picnic Bay,1
cat,Enclosure,Pimlico,6
cat,Enclosure,Railway Estate,7
cat,Enclosure,Rangewood,4
cat,Enclosure,Rasmussen,28
cat,Enclosure,Rosslea,5
cat,Enclosure,Shaw,6
cat,Enclosure,South Townsville,2
cat,Enclosure,Thuringowa Central,5
cat,Enclosure,Townsville City,7
cat,Enclosure,Unallocated,4
cat,Enclosure,Vincent,27
cat,Enclosure,West End,10
cat,Enclosure,Wulguru,22
cat,Enclosure,Yabulu,2
cat,Private Impound,Aitkenvale,412
cat,Private Impound,Alice River,3
cat,Private Impound,Alligator Creek,4
cat,Private Impound,Annandale,46
cat,Private Impound,Arcadia,2
cat,Private Impound,Balgal Beach,4
cat,Private Impound,Belgian Gardens,25
cat,Private Impound,Black River,4
cat,Private Impound,Bluewater,4
cat,Private Impound,Bluewater Park,3
cat,Private Impound,Bohle,8
cat,Private Impound,Bohle Plains,20
cat,Private Impound,Burdell,43
cat,Private Impound,Bushland Beach,23
cat,Private Impound,Castle Hill,2
cat,Private Impound,Cluden,3
cat,Private Impound,Condon,152
cat,Private Impound,Cosgrove,2
cat,Private Impound,Cranbrook,30
cat,Private Impound,Currajong,114
cat,Private Impound,Deeragun,166
cat,Private Impound,Douglas,255
cat,Private Impound,Garbutt,139
cat,Private Impound,Gulliver,38
cat,Private Impound,Gumlow,1
cat,Private Impound,Heatley,40
cat,Private Impound,Hermit Park,49
cat,Private Impound,Horseshoe Bay,3
cat,Private Impound,Hyde Park,72
cat,Private Impound,Idalia,39
cat,Private Impound,Jensen,10
cat,Private Impound,Julago,1
cat,Private Impound,Kelso,224
cat,Private Impound,Kirwan,237
cat,Private Impound,Mount Louisa,42
cat,Private Impound,Mount Low,15
cat,Private Impound,Mount St John,4
cat,Private Impound,Mundingburra,24
cat,Private Impound,Mysterton,31
cat,Private Impound,Nelly Bay,3
cat,Private Impound,Nome,6
cat,Private Impound,North Ward,23
cat,Private Impound,Oonoonba,5
cat,Private Impound,Pallarenda,3
cat,Private Impound,Pimlico,10
cat,Private Impound,Railway Estate,62
cat,Private Impound,Rasmussen,39
cat,Private Impound,Roseneath,1
cat,Private Impound,Rosslea,67
cat,Private Impound,Rowes Bay,2
