animal_type,category,suburb,date_range
Dog,Fencing Issues,SUNNYBANK,january march 2016
Dog,Fencing Issues,SUNNYBANK HILLS,january march 2016
Dog,Defecating In Public,SUNNYBANK,january march 2016
Dog,Fencing Issues,SUNNYBANK,january march 2016
Attack,Attack On An Animal,CALAMVALE,january march 2016
Attack,Attack On A Person,STRETTON,january march 2016
Dog,Fox,ANNERLEY,january march 2016
Attack,Attack On An Animal,FOREST LAKE,january march 2016
Dog,Fencing Issues,HAWTHORNE,january march 2016
Dog,Defecating In Public,HAWTHORNE,january march 2016
Dog,Fox,CARINDALE,january march 2016
Other Animal,Fox,PULLENVALE,january march 2016
Dog,Fencing Issues,KALINGA,january march 2016
Dog,Fencing Issues,WYNNUM,january march 2016
Dog,Fencing Issues,CHERMSIDE WEST,january march 2016
Dog,Fencing Issues,THE GAP,january march 2016
Dog,Fencing Issues,TINGALPA,january march 2016
Other Animal,Fox,RED HILL,january march 2016
Other Animal,Fox,BURBANK,january march 2016
Attack,Attack On A Person,EAST BRISBANE,january march 2016
Attack,Attack On An Animal,FITZGIBBON,january march 2016
Cat Trapping,Fox,MOOROOKA,january march 2016
Dog,Fencing Issues,INALA,january march 2016
Dog,Fencing Issues,SHERWOOD,january march 2016
Dog,Fox,TINGALPA,january march 2016
Dog,Too Many Animals,OXLEY,january march 2016
Other Animal,Pest / Feral Animal,FOREST LAKE,january march 2016
Attack,Attack On An Animal,THE GAP,january march 2016
Dog,Fox,MITCHELTON,january march 2016
Dog,Fox,ASPLEY,january march 2016
Attack,Fox,TARRAGINDI,january march 2016
Cat Trapping,Fox,BRIGHTON,january march 2016
Attack,Attack On A Person,BRIDGEMAN DOWNS,january march 2016
Attack,Not An Attack,ZILLMERE,january march 2016
Attack,Attack On An Animal,SHORNCLIFFE,january march 2016
Attack,Menacing,MANLY WEST,january march 2016
Attack,Attack On An Animal,BRACKEN RIDGE,january march 2016
Dog,Fencing Issues,KENMORE,january march 2016
Dog,Fox,UPPER KEDRON,january march 2016
Dog,Too Many Animals,SALISBURY,january march 2016
Attack,Attack On An Animal,STAFFORD HEIGHTS,january march 2016
Attack,Not An Attack,HOLLAND PARK,january march 2016
Dog,Fencing Issues,MOOROOKA,january march 2016
Cat,Fox,ENOGGERA,january march 2016
Dog,Fencing Issues,MANLY WEST,january march 2016
Dog,Fencing Issues,WYNNUM WEST,january march 2016
Dog,Fencing Issues,WYNNUM WEST,january march 2016
Dog,Fencing Issues,WYNNUM,january march 2016
Attack,Not An Attack,GREENSLOPES,january march 2016
Other Animal,Nuisance Animal,DOOLANDELLA,january march 2016
Dog,Fencing Issues,CARSELDINE,january march 2016
Attack,Fox,COOPERS PLAINS,january march 2016
Cat Trapping,Fox,RUNCORN,january march 2016
Dog,Fox,PARKINSON,january march 2016
Attack,Not An Attack,FOREST LAKE,january march 2016
Cat Trapping,Fox,MOUNT GRAVATT EAST,january march 2016
Dog,Fencing Issues,MITCHELTON,january march 2016
Dog,Fencing Issues,MOUNT GRAVATT EAST,january march 2016
Attack,Attack On A Person,CARINA HEIGHTS,january march 2016
Dog,Fencing Issues,WYNNUM WEST,january march 2016
Dog,Fencing Issues,ZILLMERE,january march 2016
Other Animal,Nuisance Animal,HEMMANT,january march 2016
