animal_type,category,suburb,total
Attack,Attack On A Person,ACACIA RIDGE,39
Attack,Attack On A Person,ALBION,1
Attack,Attack On A Person,ALDERLEY,13
Attack,Attack On A Person,ALGESTER,13
Attack,Attack On A Person,ANNERLEY,11
Attack,Attack On A Person,ANSTEAD,7
Attack,Attack On A Person,ARCHERFIELD,2
Attack,Attack On A Person,ASCOT,7
Attack,Attack On A Person,ASHGROVE,27
Attack,Attack On A Person,ASPLEY,34
Attack,Attack On A Person,AUCHENFLOWER,5
Attack,Attack On A Person,BALD HILLS,18
Attack,Attack On A Person,BALMORAL,10
Attack,Attack On A Person,BANYO,30
Attack,Attack On A Person,BARDON,15
Attack,Attack On A Person,BELLBOWRIE,10
Attack,Attack On A Person,BELMONT,10
Attack,Attack On A Person,BOONDALL,19
Attack,Attack On A Person,BRACKEN RIDGE,46
Attack,Attack On A Person,BRIDGEMAN DOWNS,11
Attack,Attack On A Person,BRIGHTON,35
Attack,Attack On A Person,BRISBANE CITY,4
Attack,Attack On A Person,BROOKFIELD,7
Attack,Attack On A Person,BULIMBA,6
Attack,Attack On A Person,BURBANK,5
Attack,Attack On A Person,CALAMVALE,18
Attack,Attack On A Person,CAMP HILL,23
Attack,Attack On A Person,CANNON HILL,11
Attack,Attack On A Person,CARINA,14
Attack,Attack On A Person,CARINA HEIGHTS,14
Attack,Attack On A Person,CARINDALE,21
Attack,Attack On A Person,CARSELDINE,14
Attack,Attack On A Person,CHANDLER,4
Attack,Attack On A Person,CHAPEL HILL,12
Attack,Attack On A Person,CHELMER,11
Attack,Attack On A Person,CHERMSIDE,19
Attack,Attack On A Person,CHERMSIDE WEST,16
Attack,Attack On A Person,CLAYFIELD,14
Attack,Attack On A Person,COOPERS PLAINS,16
Attack,Attack On A Person,COORPAROO,26
Attack,Attack On A Person,CORINDA,5
Attack,Attack On A Person,DARRA,14
Attack,Attack On A Person,DEAGON,15
Attack,Attack On A Person,DOOLANDELLA,6
Attack,Attack On A Person,DREWVALE,4
Attack,Attack On A Person,DURACK,19
Attack,Attack On A Person,DUTTON PARK,4
Attack,Attack On A Person,EAST BRISBANE,9
Attack,Attack On A Person,EIGHT MILE PLAINS,9
Attack,Attack On A Person,ELLEN GROVE,36
Attack,Attack On A Person,ENOGGERA,12
Attack,Attack On A Person,EVERTON PARK,18
Attack,Attack On A Person,FAIRFIELD,6
Attack,Attack On A Person,FERNY GROVE,14
Attack,Attack On A Person,FIG TREE POCKET,8
Attack,Attack On A Person,FITZGIBBON,6
Attack,Attack On A Person,FOREST LAKE,40
Attack,Attack On A Person,FORTITUDE VALLEY,5
Attack,Attack On A Person,GAYTHORNE,4
Attack,Attack On A Person,GEEBUNG,17
Attack,Attack On A Person,GORDON PARK,10
Attack,Attack On A Person,GRACEVILLE,7
Attack,Attack On A Person,GRANGE,8
Attack,Attack On A Person,GREENSLOPES,22
Attack,Attack On A Person,GUMDALE,6
Attack,Attack On A Person,HAMILTON,14
